,County,Registered Voters,Ballots Cast,A_Total _Votes,R_Total_Votes,AR_Total,Share_vote,A_share,R_share,cbg,Median Age,Male Median Age,Female Median Age,White,Black,Indian and Alaska,Asian,Pacific,Other,Two races,Two or more,Total educated number,Less than 9th,9th to 12th,High schoo,College no degree,Associate,Bachelor,Graduate,Median household income
69,2802,2580,2375,1314,769,2083,0.8770526315789474,0.5532631578947368,0.3237894736842105,60855117021,48.0,48.8,47.3,1250.0,10.0,1.0,655.0,4.0,30.0,155.0,161.0,1166.0,5.0,0.0,58.0,73.0,0.0,461.0,569.0,250000.0
70,2808,107,86,39,40,79,0.9186046511627907,0.45348837209302323,0.46511627906976744,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
71,2810,24,21,13,8,21,1.0,0.6190476190476191,0.38095238095238093,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
72,2811,37,36,16,13,29,0.8055555555555556,0.4444444444444444,0.3611111111111111,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
73,2812,303,269,143,85,228,0.8475836431226765,0.5315985130111525,0.3159851301115242,60855077032,,,,,,,,,,,,,,,,,,,,
74,2813,255,237,122,73,195,0.8227848101265823,0.5147679324894515,0.3080168776371308,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
75,2816,25,23,12,8,20,0.8695652173913043,0.5217391304347826,0.34782608695652173,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
76,2951,323,277,122,116,238,0.8592057761732852,0.4404332129963899,0.4187725631768953,60855047001,16.5,16.3,28.5,343.0,60.0,10.0,74.0,15.0,29.0,106.0,130.0,218.0,0.0,7.0,12.0,39.0,7.0,63.0,90.0,91667.0
77,2951,323,277,122,116,238,0.8592057761732852,0.4404332129963899,0.4187725631768953,60855046011,45.2,39.5,49.4,365.0,25.0,32.0,285.0,21.0,148.0,141.0,155.0,729.0,16.0,40.0,126.0,152.0,48.0,216.0,131.0,63750.0
78,3402,3488,3036,1892,826,2718,0.8952569169960475,0.6231884057971014,0.272068511198946,60855093021,43.1,43.3,42.8,1003.0,29.0,2.0,368.0,3.0,61.0,178.0,184.0,901.0,0.0,73.0,17.0,79.0,73.0,274.0,385.0,190694.0
79,3406,3417,2840,1612,902,2514,0.8852112676056338,0.5676056338028169,0.3176056338028169,60855094042,29.6,28.5,35.1,367.0,14.0,8.0,460.0,0.0,197.0,112.0,117.0,640.0,0.0,0.0,104.0,202.0,64.0,139.0,131.0,120667.0
80,3406,3417,2840,1612,902,2514,0.8852112676056338,0.5676056338028169,0.3176056338028169,60855094031,30.7,30.4,30.9,673.0,36.0,46.0,535.0,4.0,682.0,373.0,395.0,717.0,0.0,42.0,64.0,82.0,65.0,299.0,165.0,116400.0
81,3407,3434,2978,1756,888,2644,0.8878441907320349,0.5896574882471457,0.2981867024848892,60855092011,30.9,30.9,30.8,602.0,17.0,22.0,406.0,19.0,116.0,200.0,210.0,835.0,0.0,0.0,62.0,150.0,36.0,307.0,280.0,250000.0
82,3408,4039,3592,2132,1074,3206,0.8925389755011136,0.5935412026726058,0.2989977728285078,60855095002,30.5,30.8,30.3,759.0,36.0,39.0,576.0,0.0,336.0,288.0,300.0,1019.0,58.0,26.0,15.0,122.0,18.0,374.0,406.0,128456.0
83,3408,4039,3592,2132,1074,3206,0.8925389755011136,0.5935412026726058,0.2989977728285078,60855095003,35.5,33.5,39.2,730.0,22.0,20.0,366.0,12.0,159.0,241.0,264.0,970.0,0.0,0.0,142.0,130.0,80.0,273.0,345.0,102300.0
84,3409,4109,3552,2047,1107,3154,0.8879504504504504,0.576295045045045,0.31165540540540543,60855092023,30.3,28.5,35.0,332.0,10.0,9.0,443.0,0.0,62.0,86.0,97.0,465.0,28.0,10.0,32.0,103.0,37.0,141.0,114.0,154750.0
85,3409,4109,3552,2047,1107,3154,0.8879504504504504,0.576295045045045,0.31165540540540543,60855092024,37.7,39.4,35.8,314.0,12.0,4.0,282.0,0.0,72.0,110.0,119.0,543.0,39.0,0.0,36.0,50.0,7.0,306.0,105.0,215465.0
86,3410,4179,3676,2069,1241,3310,0.9004352557127312,0.5628400435255713,0.33759521218715993,60855091092,32.0,33.7,28.9,672.0,19.0,12.0,484.0,0.0,141.0,157.0,174.0,1153.0,0.0,0.0,145.0,419.0,67.0,385.0,137.0,130776.0
87,3417,3754,3279,2032,926,2958,0.9021043000914913,0.6197011283928027,0.2824031716986886,60855096001,34.5,35.5,34.1,645.0,16.0,11.0,391.0,1.0,29.0,111.0,117.0,618.0,0.0,0.0,8.0,50.0,26.0,238.0,296.0,204702.0
88,3417,3754,3279,2032,926,2958,0.9021043000914913,0.6197011283928027,0.2824031716986886,60855096002,34.5,34.7,34.4,440.0,31.0,7.0,278.0,1.0,97.0,111.0,121.0,659.0,25.0,31.0,44.0,54.0,48.0,195.0,262.0,150250.0
89,3427,3240,2832,1633,909,2542,0.8975988700564972,0.5766242937853108,0.3209745762711864,60855094012,32.5,32.6,32.3,348.0,7.0,1.0,333.0,3.0,31.0,94.0,98.0,563.0,0.0,21.0,5.0,102.0,63.0,187.0,185.0,189464.0
90,3427,3240,2832,1633,909,2542,0.8975988700564972,0.5766242937853108,0.3209745762711864,60855094011,35.8,36.3,35.1,633.0,47.0,22.0,558.0,1.0,176.0,116.0,121.0,971.0,0.0,10.0,152.0,175.0,41.0,262.0,331.0,97237.0
91,3434,2385,2211,1381,604,1985,0.8977838082315694,0.6246042514699232,0.2731795567616463,60855098014,43.4,42.4,45.7,918.0,17.0,1.0,524.0,2.0,35.0,197.0,205.0,1055.0,0.0,0.0,29.0,130.0,47.0,377.0,472.0,166364.0
92,3438,4335,3937,2323,1204,3527,0.8958597917195834,0.5900431800863601,0.30581661163322327,60855098021,36.1,36.2,36.0,642.0,25.0,16.0,587.0,4.0,84.0,181.0,184.0,795.0,0.0,0.0,84.0,109.0,62.0,217.0,323.0,159375.0
93,3445,4000,3531,2010,1130,3140,0.8892664967431323,0.5692438402718777,0.3200226564712546,60855097002,30.2,31.1,29.6,415.0,8.0,1.0,328.0,2.0,77.0,105.0,111.0,441.0,0.0,0.0,25.0,86.0,0.0,146.0,184.0,192663.0
94,3445,4000,3531,2010,1130,3140,0.8892664967431323,0.5692438402718777,0.3200226564712546,60855097003,41.1,39.5,43.3,690.0,14.0,2.0,297.0,1.0,60.0,119.0,131.0,716.0,0.0,6.0,57.0,142.0,46.0,231.0,234.0,136500.0
95,3669,3,2,2,0,2,1.0,1.0,0.0,60855077032,,,,,,,,,,,,,,,,,,,,
96,3782,421,371,164,156,320,0.862533692722372,0.4420485175202156,0.42048517520215634,60855070012,,,,,,,,,,,,,,,,,,,,
97,3783,423,382,186,130,316,0.8272251308900523,0.4869109947643979,0.3403141361256545,60855072062,50.2,50.7,48.9,958.0,9.0,0.0,211.0,2.0,24.0,145.0,151.0,843.0,12.0,14.0,16.0,78.0,4.0,284.0,435.0,250000.0
98,3783,423,382,186,130,316,0.8272251308900523,0.4869109947643979,0.3403141361256545,60855070012,,,,,,,,,,,,,,,,,,,,
99,3801,1711,1553,799,552,1351,0.8699291693496458,0.5144880875724405,0.3554410817772054,60855026011,48.2,47.8,48.5,581.0,12.0,3.0,110.0,0.0,13.0,81.0,88.0,462.0,0.0,0.0,25.0,22.0,36.0,267.0,112.0,216458.0
100,3801,1711,1553,799,552,1351,0.8699291693496458,0.5144880875724405,0.3554410817772054,60855026032,54.7,57.9,48.4,556.0,8.0,1.0,130.0,1.0,11.0,129.0,137.0,783.0,0.0,0.0,137.0,183.0,16.0,269.0,178.0,178024.0
101,3802,2793,2426,1318,824,2142,0.8829348722176422,0.5432811211871393,0.3396537510305029,60855064021,48.7,50.3,42.0,528.0,85.0,10.0,287.0,5.0,278.0,207.0,220.0,1065.0,53.0,0.0,306.0,222.0,26.0,378.0,80.0,75938.0
102,3802,2793,2426,1318,824,2142,0.8829348722176422,0.5432811211871393,0.3396537510305029,60855064022,51.8,52.0,51.5,382.0,9.0,12.0,134.0,8.0,15.0,75.0,87.0,375.0,0.0,0.0,14.0,155.0,0.0,149.0,57.0,
103,3802,2793,2426,1318,824,2142,0.8829348722176422,0.5432811211871393,0.3396537510305029,60855064024,38.5,35.1,49.5,529.0,93.0,3.0,400.0,4.0,153.0,155.0,175.0,681.0,54.0,43.0,124.0,123.0,14.0,179.0,144.0,136765.0
104,3803,2482,2136,1105,744,1849,0.8656367041198502,0.5173220973782772,0.34831460674157305,60855065023,29.1,26.6,32.2,1368.0,62.0,14.0,443.0,3.0,130.0,268.0,284.0,1348.0,19.0,9.0,291.0,279.0,173.0,435.0,142.0,104962.0
105,3804,1112,1000,570,294,864,0.864,0.57,0.294,60855065011,,,,,,,,,,,,,,,,,,,,
106,3804,1112,1000,570,294,864,0.864,0.57,0.294,60855065012,,,,,,,,,,,,,,,,,,,,
107,3810,2257,1882,960,644,1604,0.8522848034006376,0.51009564293305,0.3421891604675877,60855065033,36.2,36.8,33.5,1004.0,118.0,46.0,318.0,18.0,490.0,318.0,330.0,1127.0,0.0,82.0,154.0,331.0,57.0,324.0,179.0,81111.0
108,3811,2865,2524,1310,812,2122,0.840729001584786,0.5190174326465927,0.32171156893819336,60855065032,59.5,58.4,60.5,1131.0,36.0,17.0,508.0,6.0,101.0,260.0,291.0,1387.0,195.0,44.0,176.0,269.0,99.0,447.0,157.0,28456.0
109,3814,2713,2358,1123,887,2010,0.8524173027989822,0.4762510602205259,0.3761662425784563,60855067031,36.3,32.4,38.5,1036.0,17.0,14.0,440.0,13.0,84.0,211.0,229.0,1159.0,40.0,26.0,226.0,213.0,59.0,357.0,238.0,158289.0
110,3820,2323,2033,1006,759,1765,0.868175110673881,0.49483521888834237,0.3733398917855386,60855066062,37.4,37.1,37.8,935.0,31.0,11.0,702.0,6.0,169.0,208.0,217.0,1418.0,134.0,53.0,228.0,286.0,115.0,388.0,214.0,101318.0
