Block Group,Total educated number,Less than 9th,9th to 12th,High school,College no degree,Associate,Bachelor,Graduate
"Block Group 1, Census Tract 5062.04, Santa Clara County, California",1119,3,29,149,255,231,270,182
"Block Group 4, Census Tract 5062.04, Santa Clara County, California",947,35,30,71,61,11,316,423
"Block Group 2, Census Tract 5063.02, Santa Clara County, California",1863,246,103,291,432,224,349,218
"Block Group 2, Census Tract 5063.04, Santa Clara County, California",250,0,0,36,82,0,22,110
"Block Group 3, Census Tract 5063.04, Santa Clara County, California",847,0,0,147,70,161,249,220
"Block Group 1, Census Tract 5063.05, Santa Clara County, California",763,44,62,81,131,47,302,96
"Block Group 2, Census Tract 5063.05, Santa Clara County, California",1380,36,92,342,349,125,341,95
"Block Group 3, Census Tract 5063.05, Santa Clara County, California",868,0,90,95,351,68,159,105
"Block Group 4, Census Tract 5063.05, Santa Clara County, California",1033,48,41,213,363,113,129,126
"Block Group 1, Census Tract 5064.01, Santa Clara County, California",379,0,8,0,28,19,128,196
"Block Group 2, Census Tract 5064.01, Santa Clara County, California",971,30,12,283,309,43,139,155
"Block Group 3, Census Tract 5066.03, Santa Clara County, California",885,9,0,84,132,101,457,102
"Block Group 2, Census Tract 5066.04, Santa Clara County, California",1102,0,0,116,156,71,483,276
"Block Group 3, Census Tract 5066.04, Santa Clara County, California",1067,0,0,191,181,54,470,171
"Block Group 4, Census Tract 5066.04, Santa Clara County, California",761,0,17,53,115,47,289,240
"Block Group 5, Census Tract 5066.04, Santa Clara County, California",824,6,34,74,138,83,276,213
"Block Group 2, Census Tract 5068.01, Santa Clara County, California",1086,59,44,72,306,32,234,339
"Block Group 1, Census Tract 5068.02, Santa Clara County, California",1083,19,11,66,235,97,351,304
"Block Group 2, Census Tract 5068.02, Santa Clara County, California",668,0,21,68,189,53,275,62
"Block Group 3, Census Tract 5068.02, Santa Clara County, California",547,46,25,60,76,78,183,79
"Block Group 4, Census Tract 5068.02, Santa Clara County, California",380,0,16,27,140,33,112,52
"Block Group 5, Census Tract 5068.02, Santa Clara County, California",980,29,25,63,316,85,370,92
"Block Group 2, Census Tract 5068.03, Santa Clara County, California",1148,68,16,178,367,56,323,140
"Block Group 3, Census Tract 5068.03, Santa Clara County, California",1647,26,251,213,380,112,487,178
"Block Group 4, Census Tract 5068.03, Santa Clara County, California",702,0,0,126,163,25,268,120
"Block Group 1, Census Tract 5073.02, Santa Clara County, California",1310,10,0,64,107,80,486,563
"Block Group 1, Census Tract 5076, Santa Clara County, California",739,0,31,52,20,51,211,374
"Block Group 3, Census Tract 5077.02, Santa Clara County, California",1554,15,0,158,109,62,443,767
"Block Group 1, Census Tract 5079.04, Santa Clara County, California",924,16,15,42,73,31,280,467
"Block Group 2, Census Tract 5079.04, Santa Clara County, California",963,0,8,67,84,26,298,480
"Block Group 3, Census Tract 5080.04, Santa Clara County, California",1248,36,15,19,239,164,373,402
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",1611,15,9,227,139,35,523,663
"Block Group 1, Census Tract 5119.15, Santa Clara County, California",825,0,34,65,186,17,305,218
"Block Group 1, Census Tract 5119.16, Santa Clara County, California",1131,31,29,181,372,91,275,152
"Block Group 2, Census Tract 5119.16, Santa Clara County, California",1725,0,28,164,218,164,611,540
"Block Group 2, Census Tract 5120.24, Santa Clara County, California",1063,19,33,121,184,34,472,200
"Block Group 1, Census Tract 5120.27, Santa Clara County, California",1369,23,132,239,360,24,387,204
"Block Group 1, Census Tract 5119.07, Santa Clara County, California",1002,20,48,118,182,47,380,207
"Block Group 2, Census Tract 5119.07, Santa Clara County, California",1553,11,49,78,203,175,556,481
"Block Group 1, Census Tract 5119.10, Santa Clara County, California",934,0,29,116,83,53,428,225
"Block Group 1, Census Tract 5119.11, Santa Clara County, California",1488,0,21,289,232,77,609,260
"Block Group 3, Census Tract 5119.11, Santa Clara County, California",1469,19,6,190,203,71,598,382
"Block Group 1, Census Tract 5119.13, Santa Clara County, California",1040,0,18,55,208,58,478,223
"Block Group 2, Census Tract 5119.13, Santa Clara County, California",981,8,78,63,68,67,348,349
"Block Group 3, Census Tract 5119.13, Santa Clara County, California",811,0,25,49,93,38,387,219
"Block Group 3, Census Tract 5119.14, Santa Clara County, California",659,7,33,21,133,46,248,171
"Block Group 2, Census Tract 5119.15, Santa Clara County, California",535,15,13,145,215,62,11,74
"Block Group 1, Census Tract 5120.52, Santa Clara County, California",603,8,25,45,152,21,187,165
